leagueId,queueType,tier,rank,puuid,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
eba37885-ecf6-4b77-ab4b-a90ed35b96df,RANKED_SOLO_5x5,PLATINUM,II,9TaeBZ7nB_LtHcR6bSzvfYiAbWG1wCuIh7Bj_QPNFjQytu6yfPEgU-zYxd5AnEiH56YL6opDVS-Itw,17,94,92,False,False,False,False
19d427cd-835f-47b5-aaab-ff88a1b2f40b,RANKED_SOLO_5x5,PLATINUM,II,1q-zxwW7TsrYQerRWlbpn1DYnrSjidq_tgdyZae2PkFjkja2Dw9PLzhHLU1WpD8B43k4hGBJOBJpkw,18,85,88,False,False,False,False
ba94ff3d-ba03-4316-bcc8-27b68f82db6e,RANKED_SOLO_5x5,PLATINUM,II,f7XW5XADBClqw9suYK5pAZ6xRm7Cl7AjM1pLko7I_Ovti8k8fvDDEhzZOWrVUNywuP6aYIe2rNneww,24,27,21,False,False,False,False
4b5c04b8-3bb7-4699-8d58-2f32b69d69e2,RANKED_SOLO_5x5,PLATINUM,II,DxWpu-S8kneLV2Ofq3f1GuLdbQ-zQoJQuZIqdmEpCR-ZiMhjZ2SnhJ2yq1F1FZvFqfmWNHx1v0T1mg,27,4,3,False,False,False,False
2bf17901-f692-4c3c-9e1d-0551c92e08ee,RANKED_SOLO_5x5,PLATINUM,II,NZS8C8_5bh57ML7r_n57MPSVl34G-AQXfD-APk5ES5tQrzT55DLSwQFiZisdAwHftRDSsmi57KEOqA,53,7,2,False,False,False,False
dafb2bfa-e008-45a8-91be-034899ea2561,RANKED_SOLO_5x5,PLATINUM,II,gsx_eDaOzgpSag5ZEtzYbU1wn0X8lKqtBz5QeVR_qFHQZI_X7VmIaTVPbk1hWXJva0nOOxZewPWMmw,10,14,2,False,False,False,True
7f1c2db2-ba88-4fb9-8406-408082bdd405,RANKED_SOLO_5x5,PLATINUM,II,tv7-sGumIr3i_r9OqWN6nvswZNgOkQxhE26fDF7kIg186dPGUz-_s6pnVxIi_X_-DG-aOKNOHhfu9A,30,156,171,False,False,True,False
10111fa9-1421-4a40-b827-86e0c36dc02f,RANKED_SOLO_5x5,PLATINUM,II,Oyo1_z5IResa4UdAMd7M4O2QTL7GX-Uq8HKJLto3tg0leKBBXEOHiV1ALou0lXt65S-GwdTE-hh7DA,0,0,5,False,False,False,False
7d361dcd-de42-4c4b-8228-d14340db414f,RANKED_SOLO_5x5,PLATINUM,II,nfVShidUbuFR-F4W8tXx25XheWiJjkJ4okp7kP6BAgjGancOFLY_ROlTkLPbH6zR7siRHPbYt5BTag,63,251,242,False,False,False,False
3dca68d7-5a86-412e-bdd5-a64c04cb1417,RANKED_SOLO_5x5,PLATINUM,II,JTGZusYAs4VuxZO0gq0Yr4yJqCDBpF0-bbO0ysDI5ehOGJ0oh7_I-ReZ1MCrkzJHAY90qP1Y1LH0Zw,26,99,86,False,False,False,False
c842b6de-22a4-4c37-9f71-588eed266975,RANKED_SOLO_5x5,PLATINUM,II,XN2Ykr68z3Sj7i1PFFTNfK8nxe2Rb0KvNDdyOodQVCJ89jf7zynGiAWVa5GiUnz2vqwGFijvlDcfig,26,88,79,False,False,False,False
00ec94c7-0bbc-41b5-975f-cacb44960819,RANKED_SOLO_5x5,PLATINUM,II,jUGofsWkkhC_1PjPPBdpfYjXF_kvqlg6Im1sWfkH-II2IPWwNR-mQQtW2wEMZ4YiXqGUHl_3fGmKSg,88,38,52,False,False,False,False
08ee9d44-e1d7-453b-a4fd-94228e6f7693,RANKED_SOLO_5x5,PLATINUM,II,VP9wwhVzZtPB5BQc-0cg5iPNEdNxmWHNRiLIzrnjoDOHNjTDIQn8tFrnEfM7CoS_hgT1RVHuhn_yzQ,31,17,10,False,False,False,True
bd21e05f-72ea-46a3-ad31-a0ba18e6fa32,RANKED_SOLO_5x5,PLATINUM,II,33ndpSaE0wN9mSQw79jd8NOQ47WJG5YVYKExWXTC0ibrtBeZm5CBdoDAQnR9iP73fTlbFMyM4C-PuA,57,25,24,False,False,False,False
966e532a-6c9c-4594-bf4e-26020f75ff7f,RANKED_SOLO_5x5,PLATINUM,II,Bb8k9WM_CpkwDQ63e--8md6DGDXkgXpoHPURE0wr-x-8jF0ZvLSTrm2Jga_2t4qgh1-zLdZhzW5xCw,41,13,15,False,False,False,False
f42c89c3-9109-473c-a1ba-aa0e01059a2f,RANKED_SOLO_5x5,PLATINUM,II,KEandXvro0R_y9o_djIGiQ9OTjs3Kau4cnR3UlzbHqI1YLo0R1uHwzf9S3h__ACuLrPxi-00DiCHQA,54,5,3,False,False,False,True
