,target_user,gamelength,puuid,lane,position,kills,deaths,assists,ping_missing,ping_assists,ping_vision,ping_hold,vision_score,name,tag,wins
0,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,i2Fi83RqdVG6bibsfcXEf9LBFMJqp25AeUSpvmMbbs-PgeJOQTSPTLAqg1Q_KzZALAtOZ7xnPqVQdA,JUNGLE,JUNGLE,3,4,6,2,1,0,0,11,Xi JINPINGWANSUI,No_Tags_Available,True
1,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,X1EXaTDxtLIGrocTGDmq6W1OxH2qOa9bLJOE2PKnJgLrZobjB-axD9MBSN5opVQ7aa5eeAkxzwTX1g,BOTTOM,BOTTOM,16,6,4,0,2,0,0,8,까르띠에 도란링,No_Tags_Available,True
2,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,2pjULHw6L0eXExafTEu_PqibAxzr0kTuLRS0XHguTgPGnROEujGJGjg3ya-Vs1h6tuI1CM1k7zBciw,TOP,TOP,5,1,5,4,7,1,0,16,여기명1,No_Tags_Available,True
3,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,86eogepOYIrWlXNo9_Y1tr1sipGbv3D3N7IziPfMHjnkKcaI45K08C6lvBd8gLf9FE535O1uS5EfTA,MIDDLE,MIDDLE,6,5,5,0,2,0,0,9,이 물이 얼기전에,No_Tags_Available,True
4,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,6oVDjTvfajLqzEmIMGDr4OHmZ0e3KoZsKKmJtKqRvwPh5Dr3zFVL4y4d4FTKplcbY8qqb4lbejS-Pg,BOTTOM,UTILITY,2,5,11,3,0,2,0,21,정글 먹는 유미,No_Tags_Available,True
5,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,CooPCBi_RfqdoSA9THOyLs5JoNJ2HUY22uelLQrg5aiob0xx2g6ENRFO-jfQ3KtPhVqMrZ7ViYpQwA,MIDDLE,MIDDLE,3,4,2,0,0,0,0,11,망해라이어개냔들,No_Tags_Available,False
6,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,YkvlNie8LrwkWzRxbthfAXdrvfm3LsbFzHlOAnIRbNNDaiN9EFfGZCyCRZp0FuGiZJl0HkMoseMHVQ,BOTTOM,BOTTOM,13,6,2,0,0,0,0,10,펭귄이 너무 많아,No_Tags_Available,False
7,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,JUNGLE,JUNGLE,5,5,4,4,6,0,0,12,0baeg,No_Tags_Available,False
8,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,IW3NC12LTMMNqTkFjh94yFqhwfE9VwyiC_DrWLMF3xI4KmzDtWASSOO2qjtiaNGuaE3AS0H-3PHFdw,TOP,TOP,0,5,2,0,1,0,0,4,내셔남작내놔라,No_Tags_Available,False
9,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1223.911553,5MA1UA_7jV_gyUQaXRa4Q8h_1AeGzVTcqMAUzHYPHMf0WBIqLMcM6BqHFFMk_FIz5N6o1W2-VNsCOg,BOTTOM,UTILITY,0,12,8,0,0,0,0,1,iwannakill,No_Tags_Available,False
10,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,APJUkvXjOLcbENZCGR_k3cuWgoKYiotoNFsxY2nVwOBPKVBKWD4jb_Nes9PDByEe_1nAWrLBrndnsA,TOP,TOP,5,12,13,18,0,2,0,17,소환사Snow,No_Tags_Available,True
11,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,hxnHn--wWFH0AZE5In0Bn-eOlfBlnHZeIL0ooxv3vK3ki3Ltq7KuJ51gxyKSQBKT9d1pU-yG6CuzKw,BOTTOM,UTILITY,5,9,19,9,0,1,0,53,좀정신체리,No_Tags_Available,True
12,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,DQxvupvRjoj6VwomzxlqVfFo-OUCN8dP0tNsFYZixCcgkDbyPpEQwB7Kmxl1YDGVKyHTVuyGg7nyEQ,BOTTOM,BOTTOM,7,7,10,3,0,1,0,12,교수님 개강도둑,No_Tags_Available,True
13,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,cAOGui5m2nvs2Nrimo8hiSqEFD8BhN33nnZjwJr7FwNUvag7L5JEw6SuoDG2K3LkU1oiX1uKxxtzhQ,JUNGLE,JUNGLE,16,8,10,3,9,4,0,25,판테온탈론세트,No_Tags_Available,True
14,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,6Puw1t6M5eNAH902cJ3sUZJHUddguNfZIBtvCZaXPkXUHa_BIlR_7J-xlpKDxq4mFlwug1WLSeEVUg,TOP,MIDDLE,28,5,9,6,3,0,0,21,김딩딩과아이들,No_Tags_Available,True
15,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,YkvlNie8LrwkWzRxbthfAXdrvfm3LsbFzHlOAnIRbNNDaiN9EFfGZCyCRZp0FuGiZJl0HkMoseMHVQ,TOP,TOP,23,10,2,2,0,0,0,28,펭귄이 너무 많아,No_Tags_Available,False
16,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,JUNGLE,JUNGLE,13,12,2,3,13,0,0,25,0baeg,No_Tags_Available,False
17,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,IW3NC12LTMMNqTkFjh94yFqhwfE9VwyiC_DrWLMF3xI4KmzDtWASSOO2qjtiaNGuaE3AS0H-3PHFdw,BOTTOM,BOTTOM,3,13,5,0,1,0,0,6,내셔남작내놔라,No_Tags_Available,False
18,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,5MA1UA_7jV_gyUQaXRa4Q8h_1AeGzVTcqMAUzHYPHMf0WBIqLMcM6BqHFFMk_FIz5N6o1W2-VNsCOg,MIDDLE,MIDDLE,0,19,8,0,0,5,0,0,iwannakill,No_Tags_Available,False
19,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1911.349738,sPH8L5G23kSI9wwMWvmxMUdLlK_77hL1fIhDMZeIG0-mVgwMuu62cTn98m5NpQK4wqxVX7vuFEi6lg,BOTTOM,UTILITY,1,8,7,1,0,1,0,28,니여친의남사친,No_Tags_Available,False
20,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,kT2MCM_yIKEt4bPiCN5bCKfxGamR6DAu8pgezcmFnmfX0gHVhH0RsXXCg3ujJhguj1cDf_T4TbpxoA,TOP,TOP,4,2,19,11,0,0,0,14,말차라떼에샷추가,No_Tags_Available,True
21,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,rRDGEVQc8fK2pR6IuJ-z9wzffh1Kq1UzYg7YGc8xR4WExP9SBJ64IL7qHo4n2n-15wxeY2iK8fDMdA,JUNGLE,JUNGLE,8,2,6,3,8,26,0,37,Psy tama,No_Tags_Available,True
22,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,WVh_PHiT8EHLJJC4D-wFQxzae8oR9bens3UlFb8Q_SXrxZ1yH0PurOaCFvOFTpSMhhncR1eMHpxb3A,TOP,MIDDLE,14,1,9,10,6,8,0,41,꾸잉오잉,No_Tags_Available,True
23,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,3sx1IE36y6Tt-o7IIVBJYNOlPf8E8XHSBM9tEYHXY_f7JJeN0qOnkQNRjfhHz8wBLRYfbU-vC5nJEQ,BOTTOM,BOTTOM,12,0,9,11,7,0,0,32,바드곤듀S2,No_Tags_Available,True
24,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,qE5Va1zBGFCp0uNfwv5doW9dIQMwtxARHT1ZalR71L99_15WR5XIRJcPxp6YT_6ZATWrpzO4B99FnA,BOTTOM,UTILITY,0,3,17,12,8,0,0,61,Regicide,No_Tags_Available,True
25,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,TOP,TOP,3,11,1,3,1,0,0,9,0baeg,No_Tags_Available,False
26,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,-GGis_fY2nTINpUmv5hwGPOSZU8zUsuH4-glR0bfbSfxd3Jqaybpjxpf-vhpdZB1WZkd6wyWWgAROQ,JUNGLE,JUNGLE,0,8,5,16,1,12,0,22,등짝의 상처는 정글의 수치다,No_Tags_Available,False
27,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,Eogdh9STONfVhqA3qPEDUyF0UQx4Lt7Smi6-_lH_4C7t4LofUriRsbrtIzmum83kIPQlaWgG84WuZw,MIDDLE,MIDDLE,3,6,0,5,1,0,0,24,다이아 가면 효도,No_Tags_Available,False
28,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,FihiLn_xYG-rmZvMhy87Fc62wDo10guHWARloboMQy4DJFPtwG0zFbG90ynFRane1XxoGCY3GGlbGg,BOTTOM,BOTTOM,2,6,1,1,0,1,0,22,ZINKA,No_Tags_Available,False
29,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1836.1710094,lM5ABG_q-G_uITMSTs3leuVskGpM3L1knZTyF_8Bsu45FyZ8cEULUfllc86P2EfJavhuJSlaaOxMoQ,BOTTOM,UTILITY,0,7,4,19,4,8,0,86,블루는줘,No_Tags_Available,False
30,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,JUNGLE,TOP,2,9,9,4,4,0,0,14,0baeg,No_Tags_Available,True
31,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,XzTNKlADHWUBeYpFxKD-dwlQLkyXsMCytAsz-PLmJxI9xwSvawg4jemsWllzPdmhlEYyGnW6CW3aLA,JUNGLE,JUNGLE,12,4,5,22,17,17,0,12,tnasojiayin4ox,No_Tags_Available,True
32,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,pFB7Mz9tvrDNoQ0S3mGM6tnp2L4DiPujoRFf_kz-SxrnJimHUnYTX_QC3fMiXnvKMkoPfGcWa3-paQ,MIDDLE,MIDDLE,9,8,7,0,0,0,0,24,힐 좀 쥐,No_Tags_Available,True
33,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,O9lz4-0YR3Uz9l6TJea2bXgLIrlsZ7Cqj2PAl_6UfaW6bA-O5hOw5DMRwipKlG66iW8q9uBmHSTZvA,BOTTOM,BOTTOM,8,2,14,7,1,0,0,23,화천도베르만,No_Tags_Available,True
34,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,0d__Q8OuMmfhULGhJTrBZGrqljIcHhg7gyj5K1GjIHfzDymzHm6YREdmPeDrbPQxvI4bLiaCxgn69g,BOTTOM,UTILITY,1,1,16,4,0,0,0,68,Ssikpago,No_Tags_Available,True
35,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,-mlsK5PoQ9Xya9JYVnAFhxrBPYb4jtJyYCuk672Tsl4isTPW4YES5VBfMGy52PfGJ49xKDZTmf7xAw,TOP,TOP,5,4,9,0,2,0,0,16,방치시절대노합류,No_Tags_Available,False
36,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,hnPw77VgWbJkQrcgyRTLdlFbzcnrCbqMDWm0NqHeRV7yJvdB6_yxBP1EHG49S_uegWxJjoDYIo-pWA,JUNGLE,JUNGLE,7,4,7,12,0,12,0,67,믿고거르는D점멸,No_Tags_Available,False
37,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,ZJZCGLPqTcULeKkLZe5Z9mlXz67ySJPLhq53dsZpp3TBPDrUj0V29cLC_h2UIbr988INoqjddIb_6w,MIDDLE,MIDDLE,6,6,4,1,6,0,0,20,범이 fan,No_Tags_Available,False
38,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,A9zY_JvZmxG1ZbSepCpBSE89OyaU1EIac8-VUi5kAZGwt_r71CF64E8CuHRkboV5wXDL6_aDIL6s6w,BOTTOM,BOTTOM,2,10,5,0,0,1,0,12,ad fox,No_Tags_Available,False
39,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,1739.8499488999998,gIBclhZAV5xSHQndPvgmC8M9ylnfA2W5D1ExKA-He61_RqnQuXxNhPz-Hk4JJALQgRSMZAUuMo7F3g,BOTTOM,UTILITY,4,8,7,4,3,0,0,64,늙고 병든 윤동,No_Tags_Available,False
40,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,7EZvCqcX7OWsLimDHL_NSUpBcnGi5mO92q_UXpkVlg1T66lA8r68ZkjNrjAiryeGFNCR3EiHyKgAKQ,NONE,TOP,4,4,1,2,0,4,0,9,초코소라빵테온,No_Tags_Available,True
41,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,kU1yDhtqJM2V5FrY9udP8oJmjGBNMtDxcf-c2S38AxKDkgdJKqxyNzwv3REZLPlpWo8q_OEqgKo-Ug,NONE,JUNGLE,5,3,5,4,2,0,0,10,Spring Flower,No_Tags_Available,True
42,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,nlONtYjSAwP2f4aUcfyL4dIKBzr7hDIfkL98ZP8FE6VzZCPJTHyPBLONzVu5yguuqU_6fUbKbr3aSA,NONE,MIDDLE,0,4,2,1,1,0,0,8,초심자의 행운,No_Tags_Available,True
43,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,oSy9oYskL9pDCa4xJEFVjH8aEnMEX-zD-Iv-3Z7VtJEtfZYUIWE4n66EATJlGe83pvoGQk-RTSagKQ,NONE,BOTTOM,9,0,3,0,0,1,0,7,GodDamage,No_Tags_Available,True
44,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,6LDuke-nSwPYF7XZZ4qZpF_ZLrJvr-ynkHKaw7INWuneWb0UzEV-yNWnKMyOAMWvG-EjP978Z3erLA,NONE,UTILITY,3,1,8,1,1,0,0,29,뚜위치,No_Tags_Available,True
45,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,NONE,TOP,4,6,3,5,0,0,0,8,0baeg,No_Tags_Available,False
46,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,ewqcWGSBfLjo5zrB32lrKipp8o1IGk559dHwR7bTbVAsTJpR_B18Dij0QQRcPDoIA14ZR5ei8kAqXQ,NONE,JUNGLE,3,2,4,1,2,2,0,19,대치동노하우,No_Tags_Available,False
47,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,FrPYGIW8pMV1er4Asenmi6pfZ1Lg5R_R1gS42reqhhOwrOMBMeypLMsnruS30VrwaMU3Hb8sLRogMQ,NONE,MIDDLE,3,2,2,6,0,0,0,10,강석보,No_Tags_Available,False
48,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,cMmHhPkQL5kZP0IxBBIXOMpjudzWYlXNk5p4YtIQ-BH1nh1bVPon25OCAFI398o-JgpeTpSGrXcVsQ,NONE,BOTTOM,2,4,0,1,0,0,0,7,아얏공주아포,No_Tags_Available,False
49,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,939.3641139,n0ydMrsDYz_Qd_3ZX-X6TuxP6UCtcT6UtsJBPcQU47QRwigL8luGwfUbyLq2ovuKP0RvpLsm7WrcTA,NONE,UTILITY,0,7,2,2,0,2,0,21,빠룽빠룽빠,No_Tags_Available,False
50,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,jQmx9oKhIrZqYunaiSiyf88uLkwE1cntrm7ujJrEtiXcD_67-1sCy6E89BZaDj2R1rIDph1LP1zaCg,JUNGLE,TOP,9,5,17,2,1,1,0,20,서버니대장,No_Tags_Available,True
51,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,-1vaDRALEjct8dUEGbvHcJfaJh5Yu3B1vbb3AEYuf0bdRuSLbKiY4gmIC2eQH971A8Cf6-qRiCdFzw,JUNGLE,JUNGLE,9,4,17,6,10,0,0,30,예지공주버스탈래,No_Tags_Available,True
52,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,qYCK9UAv6KohKpaa62pwTg9DnT6JoNEjewaDGl5B5wQwPpP8VyXWnpuQVj2xsRtHa8EAbx_yZuAW5Q,MIDDLE,MIDDLE,10,5,23,55,37,1,0,39,아우솔과고아넷,No_Tags_Available,True
53,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,oAmP4RuhwY4_lUlw-heD06tbo14eW2IeH-viz0ZOjLl9B25n2X03ZlVAOj8IT_QFKrjDdIcNCRrjLQ,BOTTOM,BOTTOM,12,7,24,10,11,0,0,30,채팅하면계정삭제,No_Tags_Available,True
54,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,kZs09qBLOhNt7S3mO_buRpKaPK7CUU9n8x78X4xMRaQTiRmF7B4OJPAPt5PsgDXs1URoIWd0RTeroA,BOTTOM,UTILITY,5,7,16,0,1,0,0,137,챌린저 자몽,No_Tags_Available,True
55,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,TOP,TOP,5,8,6,8,6,0,0,23,0baeg,No_Tags_Available,False
56,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,ewqcWGSBfLjo5zrB32lrKipp8o1IGk559dHwR7bTbVAsTJpR_B18Dij0QQRcPDoIA14ZR5ei8kAqXQ,JUNGLE,JUNGLE,7,6,5,7,1,9,0,23,대치동노하우,No_Tags_Available,False
57,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,84VXCnyNW8oUOF2ieJEMDRGoVQDKfTTs4O3H0uFNXBKe-aq5fR3bJO1C00rnuOpzStSfHl7SF7tGWg,MIDDLE,MIDDLE,5,8,9,12,9,1,0,40,빡 1,No_Tags_Available,False
58,cki0ATXhLf3CMuOioroM_OsCYOCdHLgI0FQfenu10tsyr40SQ5ou-xDzS9UAQCAaIfUD3AV_oLZbUg,2407.3061727,TzzFJOOPCqq5c4Ke1N-Yc5dgCZa1gMk3SQlJaUXQu-lHhjbmjeEBPlCjLU_gQAwsTxD2jxueRnjioA,BOTTOM,BOTTOM,10,8,4,3,4,0,0,37,총잡이와칼잡이,No_Tags_Available,False
